millis|gX|gY|gZ|aX|aY|aZ|UVIndex
817478|4.93|3.90|1.44|1.11|0.09|0.06|2.00
822494|3.76|3.68|1.31|1.10|0.09|0.06|2.15
827510|3.95|4.20|1.50|1.11|0.09|0.05|2.10
832526|4.08|4.11|1.57|1.11|0.10|0.04|2.05
837540|4.05|2.94|1.39|1.10|0.10|0.04|2.10
842556|3.85|4.26|1.79|1.11|0.09|0.05|2.20
847571|4.39|4.53|1.69|1.09|0.12|0.05|2.39
852587|4.05|3.73|1.34|1.12|0.09|0.07|2.25
857603|3.90|4.64|1.73|1.10|0.09|0.04|2.35
862617|4.07|6.85|1.81|1.14|0.07|0.06|2.83
867633|4.11|4.24|1.48|1.11|0.09|0.05|7.53
872648|4.08|3.90|1.50|1.11|0.09|0.05|7.67
877664|4.05|2.60|1.10|1.12|0.09|0.05|7.67
882679|4.20|4.48|1.58|1.11|0.09|0.05|7.67
887696|4.11|4.21|1.53|1.10|0.09|0.05|7.62
892710|-9.15|20.66|6.53|1.11|0.09|0.00|8.50
897726|17.03|4.95|-3.21|1.09|0.08|0.01|2.64
902742|-40.50|-1.49|12.14|1.16|0.09|0.01|1.71
907757|17.95|4.78|2.18|1.14|0.08|0.01|2.10
912773|19.08|8.40|2.36|1.24|0.08|0.01|1.76
917788|28.28|6.19|-2.70|1.16|0.07|-0.02|1.96
922804|-50.75|9.50|-1.84|1.13|0.11|0.07|0.59
927819|-9.34|-2.63|-2.89|1.07|0.08|-0.03|0.59
932834|-0.75|2.79|1.11|1.08|0.07|-0.06|0.49
937849|4.99|7.37|1.32|1.08|0.09|-0.12|1.56
942865|-12.74|-11.81|-17.28|1.06|0.05|0.07|1.96
947881|5.53|14.21|-8.92|0.98|-0.22|0.08|0.98
952897|103.22|7.98|9.14|1.28|-0.02|-0.17|1.32
957913|3.15|9.56|0.49|1.14|-0.00|-0.01|6.16
962928|-1.98|-5.53|-9.61|1.09|0.02|0.13|1.66
967944|39.47|4.85|-7.77|0.98|-0.01|0.00|2.05
972959|-22.47|-10.13|-5.15|1.11|0.05|0.02|2.69
977975|6.66|1.16|-5.11|1.10|-0.02|0.14|1.91
982990|-4.90|7.96|9.41|1.09|-0.12|-0.11|2.98
988006|16.05|2.79|7.05|1.12|-0.00|0.03|1.91
993021|8.69|2.87|-0.80|1.13|0.06|-0.02|5.23
998036|-6.60|5.64|-12.48|1.07|0.05|-0.04|9.24
1003054|13.44|5.87|0.44|1.12|0.07|0.01|4.35
