millis|latitude|longitude|satellites|hdop|kmh|altitude
12048664|47.974945|9.463809|10|0.8|31.32|3639.20
12054675|47.974597|9.464124|10|0.8|40.98|3596.60
12060686|47.974384|9.464312|10|0.8|39.60|3557.00
12066698|47.974174|9.464679|10|0.8|26.28|3516.40
12072708|47.973892|9.465083|10|0.8|6.02|3475.60
12078718|47.973560|9.465470|10|0.8|18.82|3435.20
12084750|47.973239|9.465853|10|0.8|18.82|3394.00
12090880|47.972934|9.466282|10|0.8|26.04|3394.00
12097009|47.972637|9.466525|10|0.8|38.00|3304.60
12103141|47.972400|9.466705|9|0.9|35.17|3264.20
12109173|47.972270|9.466901|9|1.2|16.67|3221.50
12115184|47.972026|9.467195|10|0.8|15.17|3181.00
12121195|47.971748|9.467435|10|0.8|4.67|3142.50
12127205|47.971500|9.467629|10|0.8|18.45|3102.10
12133217|47.971294|9.467669|10|0.8|31.61|3063.50
12139227|47.971195|9.467828|10|0.8|28.58|3025.40
12145238|47.971084|9.468134|10|0.8|17.98|2987.30
12151248|47.970947|9.468473|10|0.8|5.48|2950.80
12157259|47.970821|9.468919|10|0.8|24.65|2914.60
12163270|47.970767|9.469174|10|0.8|35.32|2877.10
12169281|47.970836|9.469367|10|0.8|19.45|2835.80
12175291|47.970985|9.469719|10|0.8|16.26|2794.60
12181301|47.971084|9.470039|10|0.8|30.09|2757.20
12187311|47.971179|9.470061|10|0.8|23.80|2726.30
12193324|47.971305|9.470273|10|0.8|6.89|2694.80
12199334|47.971462|9.470696|10|0.8|31.82|2660.40
12205345|47.971534|9.470858|10|0.8|33.87|2625.00
12211429|47.971794|9.471139|10|0.8|14.02|2586.00
12217561|47.971878|9.471591|10|0.8|18.83|2535.40
12223689|47.971813|9.471750|10|0.8|30.28|2493.40
12229800|47.971927|9.471885|10|0.8|13.76|2452.70
12235811|47.971927|9.472418|10|0.8|25.98|2413.40
12241822|47.971862|9.472598|10|0.8|32.15|2372.10
12247833|47.971973|9.473071|10|0.8|3.70|2328.90
12253846|47.971973|9.473657|10|0.8|21.89|2281.20
12259856|47.971889|9.474142|10|0.8|36.47|2230.00
12265866|47.971893|9.474506|10|0.8|34.71|2183.90
12271876|47.971942|9.474761|10|0.8|23.59|2145.60
12277886|47.972015|9.475118|10|0.8|5.70|2108.10
12283897|47.972034|9.475492|10|0.8|13.41|2068.80
12289908|47.971988|9.475804|10|0.8|27.02|2030.80
12295919|47.971977|9.475971|10|0.8|26.95|1988.90
12301930|47.972103|9.475987|10|0.8|13.08|1943.10
12307940|47.972267|9.476121|10|0.8|18.02|1901.10
12313952|47.972164|9.476140|10|0.8|16.52|1863.40
12319962|47.972209|9.475990|10|0.8|13.96|1819.90
12325972|47.972389|9.475957|10|0.8|19.26|1774.00
12332004|47.972354|9.476097|10|0.8|19.26|1732.50
12338134|47.972278|9.476062|10|0.8|17.11|1732.50
12344263|47.972347|9.475949|10|0.8|17.85|1648.10
12350397|47.972358|9.476016|10|0.8|18.26|1605.80
12356440|47.972240|9.476011|10|0.8|16.95|1561.30
12362450|47.972171|9.475911|10|0.8|18.83|1514.00
12368461|47.972198|9.475781|10|0.8|20.45|1465.80
12374472|47.972175|9.475791|10|0.8|21.98|1417.10
12380488|47.971992|9.475816|10|0.8|12.08|1373.40
12386499|47.971935|9.475646|10|0.8|22.80|1330.30
12392509|47.971939|9.475703|10|0.8|20.02|1285.10
12398519|47.971820|9.475749|10|0.8|16.48|1241.80
12404529|47.971767|9.475618|10|0.8|21.52|1202.70
12410540|47.971813|9.475590|10|0.8|19.76|1161.00
12416550|47.971675|9.475656|10|0.8|13.63|1119.20
12422561|47.971626|9.475478|10|0.8|17.33|1076.30
12428572|47.971702|9.475681|10|0.8|12.80|1038.90
12434583|47.971580|9.475621|10|0.8|17.30|1003.90
12440595|47.971672|9.475669|10|0.8|17.30|968.30
12446605|47.971622|9.475789|10|0.8|14.61|928.50
12452675|47.971469|9.475775|10|0.8|14.61|888.80
12458804|47.971427|9.475715|10|0.8|21.41|844.30
12464932|47.971485|9.475819|10|0.8|18.35|808.70
12471056|47.971412|9.475920|10|0.8|12.19|773.90
12477067|47.971366|9.475757|10|0.8|20.39|738.60
12483077|47.971347|9.475988|10|0.8|13.89|709.50
12489088|47.971141|9.475951|10|0.8|18.13|687.00
12495098|47.971210|9.475984|10|0.8|15.37|662.70
